0,1,2,3,4,5
1000,1000,1000,1000,1000,1000
860,780,940,1540,1000,880
720,2160,120,1520,1000,480
680,1920,-520,1520,2560,-160
560,1900,-20,1380,2560,-380
550,1880,-20,1380,2500,-290
-90,1240,-920,260,2400,3110
-100,1000,110,-280,2160,3110
-110,980,-50,250,1860,3070
-650,960,-550,2370,1240,2630
-830,940,-570,2850,1220,2390
-840,1270,-570,2670,1080,2390
-850,1250,-1130,3360,1080,2290
-1170,910,470,3020,820,1950
-1230,610,270,3020,1660,1670
-1470,510,170,2640,1480,2670
-1590,230,-330,3540,1480,2670
-1710,990,-350,3320,1200,2550
-2010,710,-350,3320,2080,2250
-2570,-330,-350,2280,5600,1370
-3630,-1190,-1410,2280,4800,5150
-3640,1380,-1970,1800,4240,4190
-3900,1120,-910,1800,4060,3830
-3910,2970,-1190,1800,3300,3030
-3920,4140,-1770,1420,3100,3030
-4320,3900,-2270,400,5760,2530
-4520,3260,90,140,5140,1890
-5000,3000,-470,2120,4880,1470
-5010,3950,-790,2020,4780,1050
-5550,3250,810,2020,4440,1030
-5870,4430,410,1620,4440,970
-6750,4270,390,640,6880,570
-6760,4880,390,460,6620,410
-6770,4740,370,160,6140,1360
-6870,4260,1670,-240,5920,1260
-7730,4240,1650,1520,5060,1260
-3590,3640,590,300,4280,780
-4310,3320,-130,220,6120,780
-4850,5260,-630,-40,5780,480
-5110,6400,-670,-280,5260,400
-5370,6040,-1070,-280,6420,260
-3770,5440,-1230,-800,6420,-60
-3780,5420,-1410,-1040,7250,-440
-3900,6520,-1530,-1220,7250,-1120
-2700,5600,-1530,-1240,7110,-1240
-3520,6640,-1530,-1260,7110,-1440
-2980,6460,-1770,-1380,7110,-1440
-2990,6020,-1870,-430,6710,-1440
-3270,5560,-2330,-810,8370,-1520
-1170,5140,-2450,-1370,8370,-2520
-1290,5620,-2450,-1690,8370,-2560
-1730,4920,-2650,1590,7130,-3260
-2250,4600,-3270,1210,7070,-1360
-2490,4900,-3330,1210,7070,-1360
-1090,4440,-3690,990,6710,-1360
-1450,3860,-4210,990,8350,-1540
-490,3640,-4430,990,7910,-1620
1070,3060,-4710,370,7910,-1700
2190,2620,-4730,210,7470,-1760
2950,2600,-4770,-50,7190,-1920
2290,2240,-4970,-90,8770,-2240
2190,3320,-5030,-390,8330,-2420
1910,2580,-5030,-570,8210,-1100
1410,2560,-5070,-10,8210,-1100
750,2540,-5930,-410,10230,-1180
-70,1700,-6750,-410,13550,-2020
-230,1360,-6750,-490,14210,-2100
-610,740,-6790,870,14210,-2420
-620,100,-4880,870,13690,-3160
-1080,-360,-5320,550,13530,-1320
-1280,-1000,-5320,70,15570,-2040
1860,-1680,-5720,-370,14670,-2760
1620,-1860,-6580,-370,16150,-2960
1540,-2300,-6800,-710,15690,-1420
1480,-2480,-7120,-110,15690,-1460
1470,-2500,-7120,60,15670,-1580
890,-2680,-7860,-20,17930,-2260
880,-3080,-6650,-240,17670,-2580
680,-1240,-6770,-740,17170,-3100
670,-1460,-7150,-780,17170,-2450
430,-2320,-7150,1760,15730,-2450
290,-2340,-7150,1540,15730,-2070
230,-2640,-5870,1140,15270,-2130
130,-2840,-5250,980,15210,-2230
-10,-3000,-5470,340,16370,-2230
210,-3020,-5470,340,16210,-2270
1630,-3620,-5470,320,15730,-2590
1010,-3880,-5470,2100,15390,-3150
970,-4220,-5470,1980,15390,-2650
3010,-4940,-5870,1900,14790,-2890
2330,-2140,-6250,1520,14250,-3710
1910,-2400,-6690,1080,14250,-2150
1550,-2820,-6690,1860,14250,-2150
1050,-3880,-3590,1860,13030,-2470
1040,-4500,-3970,3650,12930,-3150
580,-4720,-3990,2930,15550,-4350
460,-5300,-4370,2930,16850,-4570
450,-5420,-4470,2810,17200,-4570
